Employee_ID,Employee_Name,Department,Attendance_Date,Check_In_Time,Check_Out_Time,Attendance_Status,Shift_Type,Location
E1035,Employee_35,IT,01-10-2024,9:8,16:4,Work From Home,Morning,Remote
E1020,Employee_20,Sales,09/02/2024,,,,Evening,Remote
E1040,Employee_40,Finance,01-05-2024,11:3,19:12,Present,Morning,Remote
E1032,Employee_32,IT,2024-02-25,,,Absent,Morning,Office
E1048,Employee_48,IT,02-08-2024,,,Absent,Evening,Office
E1049,Employee_49,Operations,03-09-2024,8:31,18:4,Late,Evening,Office
E1001,Employee_1,Operations,2024-02-10,,,Absent,Morning,Remote
E1022,Employee_22,Finance,2024-03-09,,,Absent,Evening,Office
E1030,Employee_30,IT,2024-03-30,9:58,17:44,Late,Evening,Office
E1018,Employee_18,IT,01-11-2024,10:30,16:35,,Evening,Remote
E1053,Employee_53,IT,17/03/2024,8:56,16:18,Work From Home,Evening,Remote
E1019,Employee_19,Sales,23/01/2024,10:50,20:51,Work From Home,Evening,Remote
E1037,Employee_37,IT  ,23/01/2024,10:33,16:13,Late,Evening,Office
E1003,Employee_3,Operations,02-02-2024,11:35,19:57,Work From Home,Morning,Office
E1023,Employee_23,Operations,17/02/2024,8:34,18:7,Present,Morning,Remote
E1059,Employee_59,IT,2024-03-20,11:53,18:24,Work From Home,Morning,Remote
E1020,Employee_20,Operations,2024-01-31,8:33,20:40,Present,Evening,Remote
E1038,Employee_38,IT,14/03/2024,11:7,20:30,Work From Home,Evening,Remote
E1013,Employee_13,IT,2024-02-13,11:7,19:1,Work From Home,Evening,Remote
E1018,Employee_18,HR,2024-01-03,10:22,16:28,Work From Home,Morning,Office
E1037,Employee_37,HR,2024-02-20,11:33,17:15,Work From Home,Evening,Office
E1009,Employee_9,Operations,08/03/2024,11:7,16:39,Work From Home,Morning,Office
E1028,Employee_28,IT,2024-01-01,11:22,19:32,Late,Evening,Office
E1052,Employee_52,IT,03/01/2024,8:42,19:59,,Evening,Office
E1053,Employee_53,Operations,02-17-2024,9:2,19:19,Present,Morning,Office
E1035,Employee_35,IT,2024-01-30,11:20,16:42,Work From Home,Morning,Office
E1040,Employee_40,Sales,2024-03-24,10:20,17:16,Work From Home,Evening,Remote
E1019,Employee_19,Operations,03-26-2024,8:21,17:4,Present,Evening,Office
E1014,Employee_14,IT,05/01/2024,10:17,17:11,Late,Evening,Office
E1055,Employee_55,Sales,10/02/2024,10:52,19:59,Late,Evening,Office
E1059,Employee_59,Sales,22/01/2024,11:45,18:9,Work From Home,Morning,Remote
E1011,Employee_11,IT,19/02/2024,9:4,20:27,Work From Home,Evening,Office
E1004,Employee_4,IT,03-10-2024,11:0,16:29,Present,Morning,Remote
E1032,Employee_32,IT,02-16-2024,9:11,18:23,Work From Home,Evening,Office
E1019,Employee_19,IT,2024-01-29,8:7,16:54,Late,Morning,Office
E1046,Employee_46,Sales  ,03-22-2024,,,Absent,Morning,Office
E1019,Employee_19,HR,01-30-2024,11:58,18:35,Work From Home,Evening,Office
E1022,Employee_22,HR,02-28-2024,,,Absent,Evening,Remote
E1038,Employee_38,Finance,01-07-2024,,,,Morning,Office
E1003,Employee_3,Finance,01-18-2024,9:28,18:0,Present,Evening,Office
E1041,Employee_41,HR,02-07-2024,,,Absent,Morning,Office
E1014,Employee_14,Operations,2024-01-30,11:32,16:29,Late,Morning,Office
E1043,Employee_43,Sales,01-31-2024,10:15,16:32,Late,Morning,Remote
E1040,Employee_40,Finance,2024-03-22,8:38,16:56,Present,Evening,Office
E1036,Employee_36,HR,06/01/2024,,,Absent,Morning,Office
E1046,Employee_46,Finance,02-28-2024,,,Absent,Evening,Remote
E1030,Employee_30,IT,05/01/2024,10:53,17:44,Work From Home,Evening,Remote
E1022,Employee_22,IT,03-04-2024,9:14,18:28,Work From Home,Morning,Remote
E1013,Employee_13,IT,2024-03-15,,,Absent,Morning,Remote
E1046,Employee_46,Finance,10/03/2024,9:22,20:29,Present,Evening,Remote
E1027,Employee_27,Operations,02-12-2024,9:1,20:20,Work From Home,Morning,Office
E1049,Employee_49,HR,2024-01-16,11:17,18:50,Present,Evening,Office
E1048,Employee_48,IT,2024-02-27,11:31,16:11,Late,Evening,Remote
E1016,Employee_16,Sales,03/01/2024,10:1,16:35,Present,Morning,Remote
E1006,Employee_6,IT,01-11-2024,10:13,19:49,Present,Morning,Office
E1008,Employee_8,HR,17/03/2024,10:53,18:30,Late,Evening,Remote
E1044,Employee_44,IT,24/01/2024,10:8,19:34,Work From Home,Morning,Office
E1050,Employee_50,Sales,24/02/2024,,,Absent,Evening,Remote
E1050,Employee_50,Sales,12/02/2024,10:33,18:7,Present,Evening,Office
E1044,Employee_44,Operations,02-03-2024,10:37,19:57,Late,Evening,Office
E1050,Employee_50,Operations,03-10-2024,10:20,17:46,Late,Morning,Remote
E1052,Employee_52,IT,2024-01-16,11:35,20:20,Late,Morning,Remote
E1056,Employee_56,HR,2024-01-15,11:20,20:28,Work From Home,Evening,Office
E1005,Employee_5,IT  ,2024-01-09,11:26,19:54,Work From Home,Evening,Office
E1003,Employee_3,HR,2024-01-02,11:23,20:38,Present,Morning,Office
E1052,Employee_52,Sales,2024-01-24,9:17,19:31,Work From Home,Evening,Office
E1012,Employee_12,Operations,2024-02-10,9:23,16:33,Present,Morning,Remote
E1032,Employee_32,HR,2024-01-29,8:49,17:36,Late,Evening,Office
E1027,Employee_27,Operations,03-03-2024,11:42,18:56,Present,Morning,Office
E1022,Employee_22,HR,2024-01-08,8:39,18:38,Late,Morning,Office
E1058,Employee_58,Operations,26/01/2024,9:39,18:58,Late,Morning,Office
E1052,Employee_52,Sales,02-24-2024,10:29,17:59,Late,Morning,Office
E1015,Employee_15,Operations,30/01/2024,,,Absent,Morning,Office
E1048,Employee_48,IT,15/02/2024,11:32,17:0,Present,Evening,Remote
E1044,Employee_44,Finance,2024-01-27,,,Absent,Evening,Remote
E1055,Employee_55,Finance,2024-03-17,10:44,20:21,Late,Morning,Remote
E1017,Employee_17,Finance,2024-01-18,,,Absent,Evening,Remote
E1039,Employee_39,Finance,01-17-2024,10:11,20:49,Present,Morning,Office
E1045,Employee_45,Operations,30/01/2024,11:6,18:18,Work From Home,Evening,Office
E1006,Employee_6,Sales,01-28-2024,,,Absent,Evening,Office
E1045,Employee_45,IT,02-12-2024,11:41,18:20,Late,Morning,Remote
E1037,Employee_37,Operations,2024-01-09,10:48,17:10,Present,Morning,Remote
E1024,Employee_24,HR,2024-02-27,11:41,18:5,Work From Home,Evening,Remote
E1059,Employee_59,HR,2024-02-03,9:31,17:18,Work From Home,Morning,Office
E1036,Employee_36,Operations,2024-02-10,11:20,17:1,Late,Morning,Office
E1054,Employee_54,Sales,03-17-2024,11:12,20:28,Late,Morning,Remote
E1046,Employee_46,IT,02-23-2024,11:29,19:30,Present,Morning,Office
E1036,Employee_36,Sales,01-24-2024,10:11,17:21,Present,Morning,Office
E1050,Employee_50,Finance,2024-02-14,10:45,17:36,Work From Home,Evening,Remote
E1025,Employee_25,HR,08/02/2024,,,Absent,Morning,Office
E1006,Employee_6,Finance,30/01/2024,10:40,17:51,Late,Morning,Remote
E1052,Employee_52,Finance,01-08-2024,8:52,18:44,Work From Home,Morning,Remote
E1007,Employee_7,Operations,10/02/2024,,,Absent,Evening,Office
E1043,Employee_43,HR,2024-03-12,10:27,19:18,Present,Evening,Remote
E1009,Employee_9,Finance,20/02/2024,8:55,16:44,Present,Evening,Office
E1007,Employee_7,Finance,27/03/2024,8:41,18:35,work from home,Morning,Office
E1014,Employee_14,HR,2024-02-08,8:47,18:2,Late,Evening,Office
E1055,Employee_55,Operations,23/02/2024,9:0,17:43,Late,Evening,Remote
E1047,Employee_47,Sales,2024-01-31,8:17,16:28,Late,Morning,Office
E1053,Employee_53,Operations,03/03/2024,10:33,18:27,Late,Evening,Remote
E1026,Employee_26,Finance,2024-03-06,,,Absent,Evening,Remote
E1003,Employee_3,Finance,24/03/2024,11:21,20:31,Late,Evening,Remote
E1017,Employee_17,Finance,2024-01-10,11:43,18:27,late,Evening,Remote
E1016,Employee_16,Operations,01-13-2024,,,Absent,Evening,Office
E1013,Employee_13,HR,01-22-2024,9:23,16:10,Late,Morning,Office
E1045,Employee_45,IT,03-01-2024,,,Absent,Evening,Office
E1011,Employee_11,Finance,29/03/2024,,,Absent,Morning,Remote
E1018,Employee_18,IT,22/01/2024,9:14,18:58,Present,Morning,Remote
E1058,Employee_58,Operations,03-17-2024,10:14,16:35,Late,Evening,Remote
E1030,Employee_30,IT,02-13-2024,11:14,16:16,Late,Evening,Remote
E1006,Employee_6,Sales,19/03/2024,8:16,19:26,Work From Home,Morning,Remote
E1048,Employee_48,Sales,2024-03-11,8:16,17:9,Work From Home,Evening,Remote
E1022,Employee_22,IT,03-16-2024,,,Absent,Morning,Remote
E1027,Employee_27,Finance  ,16/03/2024,,,Absent,Morning,Remote
E1004,Employee_4,Operations,10/02/2024,10:29,17:25,Present,Evening,Remote
E1045,Employee_45,Finance,03-21-2024,11:29,18:24,Late,Evening,Remote
E1028,Employee_28,IT,02-18-2024,11:8,16:11,Late,Evening,Remote
E1033,Employee_33,Operations,2024-02-26,,,Absent,Morning,Office
E1026,Employee_26,Operations,03-08-2024,11:46,16:35,Work From Home,Evening,Remote
E1024,Employee_24,IT  ,2024-03-21,,,Absent,Evening,Remote
E1020,Employee_20,Finance  ,02-10-2024,9:59,17:40,,Evening,Remote
E1001,Employee_1,Finance,15/01/2024,11:30,16:59,Present,Evening,Remote
E1021,Employee_21,Operations,06/03/2024,,,Absent,Evening,Office
E1010,Employee_10,IT,03-27-2024,,,Absent,Morning,Office
E1050,Employee_50,Sales,01-09-2024,10:17,20:31,Late,Morning,Office
E1058,Employee_58,Operations,02-13-2024,11:36,18:7,Present,Evening,Remote
E1003,Employee_3,Operations,01-20-2024,,,Absent,Morning,Office
E1045,Employee_45,IT,12/03/2024,,,Absent,Morning,Office
E1058,Employee_58,Operations,06/02/2024,9:22,19:29,Late,Evening,Remote
E1040,Employee_40,Sales,02-24-2024,11:0,18:1,work from home,Morning,Remote
E1015,Employee_15,Operations,2024-01-20,,,Absent,Morning,Office
E1046,Employee_46,Sales,2024-02-16,,,Absent,Evening,Office
E1008,Employee_8,IT  ,06/03/2024,,,Absent,Morning,Office
E1022,Employee_22,IT,02-21-2024,11:57,19:35,Late,Morning,Remote
E1023,Employee_23,Operations,01-15-2024,,,Absent,Morning,Office
E1046,Employee_46,Operations,11/03/2024,11:32,19:11,Late,Morning,Remote
E1033,Employee_33,Operations,2024-01-16,11:45,16:57,Work From Home,Evening,Remote
E1023,Employee_23,Operations,21/03/2024,8:35,17:21,Work From Home,Morning,Office
E1024,Employee_24,Sales,17/03/2024,11:19,19:17,Present,Morning,Office
E1014,Employee_14,HR,02-10-2024,10:4,20:2,Work From Home,Evening,Remote
E1043,Employee_43,Finance,29/02/2024,10:40,18:46,Late,Evening,Remote
E1047,Employee_47,HR,24/03/2024,11:2,18:6,Late,Evening,Remote
E1009,Employee_9,Sales,24/02/2024,8:54,19:41,,Morning,Remote
E1043,Employee_43,Sales,04/02/2024,,,Absent,Morning,Office
E1038,Employee_38,HR,2024-02-23,10:48,16:44,Late,Morning,Office
E1035,Employee_35,Operations,01-06-2024,9:2,16:12,Late,Morning,Remote
E1020,Employee_20,Finance,16/01/2024,8:29,20:50,present,Morning,Office
E1016,Employee_16,Finance,2024-03-10,11:1,17:4,Work From Home,Morning,Office
E1045,Employee_45,IT,28/03/2024,10:9,19:0,Present,Evening,Office
E1032,Employee_32,Operations,01-24-2024,,,Absent,Evening,Office
E1023,Employee_23,HR,02-13-2024,11:35,18:25,Present,Evening,Office
E1052,Employee_52,Sales,02-04-2024,10:6,19:31,Work From Home,Morning,Remote
E1036,Employee_36,Operations,2024-01-25,,,Absent,Morning,Office
E1001,Employee_1,Operations,14/01/2024,8:19,17:23,Late,Morning,Office
E1022,Employee_22,Sales,07/01/2024,11:47,20:16,Present,Morning,Remote
E1037,Employee_37,IT,20/01/2024,10:22,19:2,Present,Evening,Remote
E1047,Employee_47,HR,01-02-2024,,,Absent,Evening,Office
E1017,Employee_17,IT,2024-02-19,10:40,20:50,Present,Morning,Office
E1039,Employee_39,IT,01-08-2024,11:10,16:43,Work From Home,Morning,Remote
E1019,Employee_19,Sales,02-19-2024,8:17,19:57,Present,Morning,Office
E1027,Employee_27,IT,2024-02-04,10:57,18:46,Work From Home,Morning,Remote
E1017,Employee_17,Finance,01-15-2024,9:50,16:44,Present,Evening,Remote
E1056,Employee_56,Operations,02-11-2024,8:52,17:34,Present,Evening,Remote
E1030,Employee_30,Sales,21/02/2024,10:51,19:47,Work From Home,Morning,Remote
E1057,Employee_57,Operations,09/03/2024,,,Absent,Evening,Office
E1014,Employee_14,HR,19/02/2024,10:50,20:30,Present,Morning,Remote
E1036,Employee_36,Sales,2024-02-13,,,Absent,Evening,Remote
E1041,Employee_41,Operations,2024-01-13,9:0,19:16,Work From Home,Evening,Remote
E1003,Employee_3,Operations,01/01/2024,11:53,16:38,Late,Evening,Remote
E1042,Employee_42,IT,01-01-2024,9:19,20:56,Work From Home,Evening,Office
E1001,Employee_1,Sales,14/01/2024,8:11,18:22,Work From Home,Evening,Office
E1011,Employee_11,IT,02-22-2024,11:30,16:54,Work From Home,Morning,Office
E1033,Employee_33,Finance,18/02/2024,8:29,16:17,Work From Home,Morning,Remote
E1040,Employee_40,Finance,03-09-2024,8:0,19:37,Work From Home,Evening,Office
E1048,Employee_48,HR,03-06-2024,,,Absent,Evening,Office
E1003,Employee_3,Finance,01-18-2024,9:58,17:20,Work From Home,Evening,Remote
E1016,Employee_16,Finance,13/03/2024,,,Absent,Morning,Office
E1048,Employee_48,Finance,27/03/2024,8:58,19:35,Work From Home,Evening,Remote
E1026,Employee_26,Operations,09/02/2024,11:43,19:49,Late,Morning,Office
E1037,Employee_37,HR,02-20-2024,9:18,19:34,Late,Evening,Remote
E1041,Employee_41,Sales,2024-03-05,8:5,20:58,Late,Evening,Remote
E1035,Employee_35,IT,01/03/2024,8:19,16:20,Late,Morning,Remote
E1043,Employee_43,IT,03-17-2024,9:39,18:1,Late,Evening,Remote
E1021,Employee_21,Operations,02/02/2024,10:24,18:27,Work From Home,Evening,Office
E1012,Employee_12,IT,03-03-2024,10:47,16:16,Present,Evening,Remote
E1014,Employee_14,HR,03-20-2024,,,Absent,Morning,Office
E1045,Employee_45,Operations,2024-02-15,,,Absent,Morning,Remote
E1036,Employee_36,Sales  ,2024-01-24,9:29,18:50,Work From Home,Morning,Remote
E1042,Employee_42,Sales,01-13-2024,10:18,18:32,Work From Home,Morning,Office
E1005,Employee_5,Sales,28/03/2024,9:11,16:10,Late,Evening,Office
E1046,Employee_46,IT,01-14-2024,,,Absent,Morning,Office
E1009,Employee_9,Sales,02/03/2024,11:19,19:21,Present,Morning,Remote
E1001,Employee_1,Operations,02-04-2024,,,Absent,Morning,Remote
E1042,Employee_42,Finance,30/03/2024,9:34,20:36,Late,Evening,Office
E1016,Employee_16,Finance,01-07-2024,11:25,20:29,Work From Home,Morning,Remote
E1010,Employee_10,Operations,01-23-2024,11:37,19:52,Present,Morning,Office
E1035,Employee_35,Sales,03-09-2024,,,Absent,Morning,Office
E1019,Employee_19,Finance,01/03/2024,8:25,20:37,Work From Home,Morning,Office
E1052,Employee_52,Operations,2024-01-17,11:46,19:55,Work From Home,Morning,Remote
E1015,Employee_15,Operations,02-18-2024,10:16,17:15,Work From Home,Evening,Remote
E1022,Employee_22,Sales,09/02/2024,9:44,20:53,Late,Evening,Remote
E1030,Employee_30,Finance,14/02/2024,9:59,17:38,Late,Morning,Office
E1032,Employee_32,Sales,02-10-2024,10:26,17:46,Present,Morning,Office
E1055,Employee_55,IT,01-06-2024,9:57,19:4,Work From Home,Morning,Office
E1030,Employee_30,IT,01-12-2024,10:8,16:17,Present,Evening,Office
E1025,Employee_25,Finance,01-09-2024,10:30,17:13,Present,Evening,Office
E1026,Employee_26,Finance,03/01/2024,11:23,16:58,Work From Home,Evening,Remote
E1008,Employee_8,Finance,24/01/2024,,,Absent,Evening,Remote
E1004,Employee_4,Sales  ,03-18-2024,9:10,19:47,Work From Home,Morning,Remote
E1020,Employee_20,Sales,21/01/2024,8:55,19:21,Late,Evening,Remote
E1032,Employee_32,Operations,2024-03-11,,,Absent,Morning,Office
E1016,Employee_16,Finance,06/03/2024,10:3,20:41,Late,Morning,Remote
E1036,Employee_36,Operations,25/02/2024,11:57,18:13,Late,Evening,Remote
E1016,Employee_16,HR,03-18-2024,9:32,20:33,Work From Home,Morning,Remote
E1052,Employee_52,Operations,02-24-2024,11:26,19:54,Work From Home,Evening,Remote
E1024,Employee_24,Sales,2024-01-12,10:20,18:11,Late,Evening,Office
E1043,Employee_43,Sales,09/02/2024,9:52,20:36,Present,Morning,Office
E1027,Employee_27,HR,01-19-2024,8:24,18:17,Late,Evening,Office
E1006,Employee_6,IT,14/01/2024,9:39,17:13,Late,Evening,Remote
E1018,Employee_18,Sales,03-18-2024,9:1,18:53,Late,Evening,Remote
E1039,Employee_39,HR,2024-03-26,9:22,17:24,Work From Home,Evening,Office
E1046,Employee_46,Sales,19/03/2024,,,Absent,Morning,Office
E1015,Employee_15,HR,01-03-2024,11:22,20:21,Late,Evening,Remote
E1026,Employee_26,IT,2024-01-03,,,Absent,Evening,Office
E1041,Employee_41,HR,02-02-2024,9:28,17:3,Work From Home,Evening,Office
E1020,Employee_20,Operations,08/01/2024,8:43,17:24,Work From Home,Evening,Remote
E1011,Employee_11,Sales,01-27-2024,8:19,18:10,Late,Morning,Remote
E1009,Employee_9,Sales,03-21-2024,8:45,19:32,Work From Home,Evening,Remote
E1025,Employee_25,Sales,02-02-2024,9:56,19:16,Late,Morning,Office
E1016,Employee_16,Finance,02-28-2024,11:31,20:22,Work From Home,Evening,Office
E1034,Employee_34,Sales,2024-03-22,8:34,17:49,Work From Home,Evening,Office
E1008,Employee_8,Finance,2024-02-03,8:59,17:12,Present,Morning,Remote
E1002,Employee_2,Sales,2024-01-09,,,Absent,Morning,Office
E1046,Employee_46,Operations,2024-01-08,,,Absent,Evening,Office
E1000,Employee_0,Sales,2024-02-05,9:23,16:50,Work From Home,Morning,Office
E1009,Employee_9,IT,27/03/2024,,,Absent,Evening,Office
E1008,Employee_8,Finance,02-13-2024,11:20,19:7,Work From Home,Evening,Office
E1041,Employee_41,IT,21/02/2024,,,Absent,Evening,Office
E1035,Employee_35,HR,03-01-2024,,,Absent,Evening,Office
E1021,Employee_21,Finance,02-10-2024,,,Absent,Evening,Office
E1012,Employee_12,Finance,24/01/2024,8:39,17:5,Work From Home,Morning,Office
E1053,Employee_53,Sales,06/02/2024,9:39,16:45,Work From Home,Evening,Remote
E1030,Employee_30,HR,2024-01-20,8:31,17:0,Present,Morning,Office
E1046,Employee_46,Sales,06/02/2024,9:7,16:38,Late,Evening,Office
E1010,Employee_10,IT,06/03/2024,11:37,16:12,Present,Evening,Office
E1026,Employee_26,Sales,03-29-2024,9:25,19:33,work from home,Morning,Remote
E1003,Employee_3,Sales,2024-02-29,8:23,19:31,Work From Home,Evening,Office
E1032,Employee_32,Finance,02-25-2024,9:2,19:52,Present,Evening,Office
E1043,Employee_43,Sales,27/01/2024,9:37,17:40,Present,Evening,Office
E1013,Employee_13,Finance,22/03/2024,,,Absent,Evening,Remote
E1048,Employee_48,Operations,2024-02-05,11:19,16:24,Present,Evening,Remote
E1014,Employee_14,HR,22/01/2024,10:23,20:49,Late,Morning,Remote
E1023,Employee_23,Finance,01-14-2024,,,Absent,Evening,Remote
E1022,Employee_22,Sales,2024-03-17,,,Absent,Evening,Remote
E1042,Employee_42,Operations,10/01/2024,11:34,17:52,Late,Evening,Remote
E1022,Employee_22,Sales,01-13-2024,10:6,19:29,Late,Morning,Remote
E1003,Employee_3,HR,2024-03-15,,,Absent,Morning,Remote
E1016,Employee_16,IT,02-22-2024,10:19,19:32,Work From Home,Evening,Remote
E1013,Employee_13,IT,02-24-2024,,,Absent,Evening,Remote
E1000,Employee_0,HR,18/03/2024,8:2,18:5,Late,Evening,Office
E1052,Employee_52,Operations,2024-02-23,10:37,19:15,Late,Evening,Office
E1025,Employee_25,Finance,03-30-2024,10:10,18:53,Work From Home,Morning,Office
E1048,Employee_48,Sales,2024-03-03,10:0,19:8,Present,Morning,Office
E1041,Employee_41,HR,01-10-2024,10:0,20:34,Work From Home,Evening,Office
E1009,Employee_9,Finance,08/03/2024,,,Absent,Morning,Remote
E1028,Employee_28,Operations,2024-01-22,,,Absent,Evening,Remote
